feature,score
920.67nm_median,147.21917119943953
916.38nm_median,146.5596392838415
918.53nm_median,146.36293784264697
914.24nm_median,145.88103225724174
912.10nm_median,145.31435705513843
924.96nm_median,145.25107881386256
922.82nm_median,144.98593377835118
909.95nm_median,144.9622662274219
907.81nm_median,144.5955308704757
927.10nm_median,143.60926879962702
905.67nm_median,143.46033841621772
903.52nm_median,142.99501517031834
901.38nm_median,142.45332313451536
899.23nm_median,141.30745845165904
897.09nm_median,140.60226356584428
929.25nm_median,140.28738414570546
894.95nm_median,139.78327270255102
892.80nm_median,138.72562636841485
890.66nm_median,137.73251015667614
931.39nm_median,136.62429384039456
888.52nm_median,136.52585482139176
886.37nm_median,135.70595725348483
517.64nm_median,134.76786862033006
884.23nm_median,134.76158869489535
515.49nm_median,134.42179542224892
519.78nm_median,133.91079541555249
882.08nm_median,133.82936300282114
513.35nm_median,133.07339642597873
879.94nm_median,132.84433620199206
521.92nm_median,132.62479182180442
877.80nm_median,132.38139939871607
933.54nm_median,131.74818536014087
875.65nm_median,131.4361882529065
511.20nm_median,131.14800011388817
873.51nm_median,130.89272411799266
871.36nm_median,130.55484240185868
524.07nm_median,130.1593133229276
869.22nm_median,129.96525081340235
867.08nm_median,129.75959759600022
509.06nm_median,129.48601632541602
864.93nm_median,129.41916383877694
862.79nm_median,129.1716929508553
860.65nm_median,128.77124911206846
682.71nm_mean,128.70623870335302
858.50nm_median,128.62217169574006
856.36nm_median,128.13252526908002
935.68nm_median,128.11317536411252
684.85nm_mean,127.86121070787597
680.57nm_mean,127.82532554591383
854.21nm_median,127.62023994088821
852.07nm_median,127.33406390188823
526.21nm_median,127.33063363875544
849.93nm_median,127.04599718612128
847.78nm_median,126.61695515735174
845.64nm_median,126.22688644511918
843.49nm_median,125.71660007668414
687.00nm_mean,125.67287845346769
678.42nm_mean,125.57052562480223
506.92nm_median,125.46931179303189
841.35nm_median,125.02985913841918
839.21nm_median,123.9252828931587
528.35nm_median,123.39118567132618
504.77nm_median,122.95124296839825
689.14nm_mean,122.74174107536555
837.06nm_median,122.64735604023622
676.28nm_mean,122.29225129959977
937.82nm_median,121.86059926429063
834.92nm_median,121.37485771257461
832.78nm_median,120.27372364962338
691.28nm_mean,119.82581836702389
530.50nm_median,119.77128411675022
680.57nm_q25,119.69555457673559
502.63nm_median,119.61073321322307
682.71nm_q25,119.59804610825378
830.63nm_median,119.5883257932242
828.49nm_median,118.97257131565347
