features,model,roc_auc_mean,roc_auc_std
ratios,SVM,0.7732202144930995,0.019573184416030835
ratios,CatBoost,0.769638015936208,0.014193212384598974
raw,SVM,0.7626580052479401,0.018137771850908188
ratios,XGBoost,0.7572490175186154,0.015273304600564797
ratios,LogReg,0.7568413669587677,0.030906167853982203
raw,CatBoost,0.7542000010905682,0.017105236632075946
raw,XGBoost,0.7514077444465871,0.01477574830853877
raw,LogReg,0.7406859871664587,0.03052411559950788
ratios,RandomForest,0.7370701736789329,0.016493914435626377
raw,RandomForest,0.7239238416006969,0.020087676315997775
Norm,SVM,0.6676275437897224,0.03070744109857321
BC,SVM,0.6661947171476719,0.01639870507205913
Norm,LogReg,0.6589241539156695,0.03440220578491077
BC,CatBoost,0.6574062118312043,0.029917649988037098
BC,LogReg,0.6508375616446315,0.030330735557252547
Norm,CatBoost,0.6370068984382818,0.020497661814911992
BC,XGBoost,0.6351511589611905,0.040240496698169946
BC,RandomForest,0.6241617934520396,0.040353550322781366
Norm,XGBoost,0.6135316605065292,0.02790167261789129
SNV,CatBoost,0.6085543442383515,0.035432678837210775
MSC+ratios,SVM,0.6078493456188641,0.025602267883774926
SNV+derivative,CatBoost,0.6055451103936431,0.039981683443319545
Norm,RandomForest,0.6047566518457745,0.027384261629021266
SNV,SVM,0.6047045523079342,0.026092363428825618
SNV+ratios,CatBoost,0.6045779201213998,0.03352062840330464
SNV+derivative,SVM,0.603842122561763,0.02296577030335958
MSC,SVM,0.6037090566343617,0.022967199435809743
SNV+ratios,SVM,0.6035566130222445,0.025055244069435587
SNV+ratios,LogReg,0.6022072515516915,0.02849304808591601
MSC,CatBoost,0.6018991594724991,0.03467750817446986
SNV+derivative,XGBoost,0.6015769607883746,0.03324217372376981
SNV,LogReg,0.6011055626704646,0.027895587957087305
MSC+ratios,CatBoost,0.5996490895730178,0.031328936354874035
MSC,XGBoost,0.5972841718282527,0.034658497205493716
SNV,XGBoost,0.59695765106843,0.0362429044273484
SNV+derivative,LogReg,0.5962072177860215,0.02225329785797009
MSC,LogReg,0.5962072177860215,0.02225329785797009
MSC+ratios,LogReg,0.5943155092189891,0.02516137691634659
SNV+ratios,XGBoost,0.5932882402594519,0.034585270489548264
MSC+ratios,XGBoost,0.5910660742259612,0.029771616657152198
SNV+derivative,RandomForest,0.5762473203742369,0.038188056136034265
MSC+ratios,RandomForest,0.5751864478441511,0.0373383940870638
SNV+ratios,RandomForest,0.575180052115879,0.03680707564402246
MSC,RandomForest,0.5750151377511763,0.03698217518944851
SNV,RandomForest,0.5749283510653785,0.037002269796656995
