features,model,roc_auc_mean,roc_auc_std
ratios,SVM,0.7732202144930995,0.019573184416030835
raw,SVM,0.7626580052479401,0.018137771850908188
ratios,LogReg,0.7568413669587677,0.030906167853982203
raw,LogReg,0.7406859871664587,0.03052411559950788
ratios,RandomForest,0.7359165613411948,0.016807172918503876
raw,RandomForest,0.7237775328718061,0.023239963541535003
derivative,LogReg,0.6502178401303172,0.031176131019208235
derivative,SVM,0.6470064470059514,0.026591650787525803
derivative,RandomForest,0.6058265993366618,0.03103026729519927
snv,SVM,0.6047045523079342,0.026092363428825618
snv+derivative,SVM,0.603842122561763,0.02296577030335958
snv+ratios,SVM,0.6035566130222445,0.025055244069435587
snv+ratios,LogReg,0.6022072515516915,0.02849304808591601
snv,LogReg,0.6011055626704646,0.027895587957087305
snv+derivative,LogReg,0.5962072177860215,0.02225329785797009
snv+derivative,RandomForest,0.5743165449092678,0.037026985704313606
snv+ratios,RandomForest,0.5736074085970123,0.03581952009711853
snv,RandomForest,0.5734207186956496,0.036101134828428104
