feature,frequency
norm_spec_mean,1.0
680.57nm,0.98
norm_spec_std,0.98
521.92nm,0.84
678.42nm,0.82
684.85nm,0.8
519.78nm,0.76
521.92nm,0.74
532.64nm,0.7
524.07nm,0.66
948.54nm,0.64
521.92nm,0.64
524.07nm,0.62
530.50nm,0.62
534.79nm,0.6
519.78nm,0.6
457.61nm,0.56
682.71nm,0.56
536.93nm,0.52
528.35nm,0.5
526.21nm,0.48
524.07nm,0.46
995.71nm,0.44
519.78nm,0.44
526.21nm,0.4
517.64nm,0.38
989.27nm,0.36
517.64nm,0.34
517.64nm,0.32
539.07nm,0.32
952.83nm,0.32
687.00nm,0.3
871.36nm,0.28
446.89nm,0.26
873.51nm,0.24
832.78nm,0.22
524.07nm,0.22
682.71nm,0.22
869.22nm,0.22
937.82nm,0.22
944.25nm,0.22
697.72nm,0.22
676.28nm,0.2
517.64nm,0.2
706.29nm,0.2
875.65nm,0.2
680.57nm,0.2
710.58nm,0.2
712.72nm,0.2
421.16nm,0.2
680.57nm,0.2
972.12nm,0.2
834.92nm,0.2
959.26nm,0.2
652.70nm,0.2
948.54nm,0.18
708.43nm,0.18
376.14nm,0.18
648.41nm,0.18
702.00nm,0.18
837.06nm,0.16
684.85nm,0.16
946.40nm,0.16
867.08nm,0.16
974.27nm,0.16
987.13nm,0.16
541.22nm,0.16
687.00nm,0.16
830.63nm,0.16
699.86nm,0.16
892.80nm,0.16
650.55nm,0.14
877.80nm,0.14
697.72nm,0.14
828.49nm,0.14
717.01nm,0.14
888.52nm,0.14
719.15nm,0.14
695.57nm,0.14
391.15nm,0.14
899.23nm,0.14
897.09nm,0.14
894.95nm,0.14
890.66nm,0.14
817.77nm,0.14
526.21nm,0.12
714.87nm,0.12
813.48nm,0.12
521.92nm,0.12
950.69nm,0.12
704.15nm,0.12
654.84nm,0.12
519.78nm,0.12
646.26nm,0.12
695.57nm,0.12
993.56nm,0.12
438.31nm,0.12
644.12nm,0.12
886.37nm,0.12
693.43nm,0.1
687.00nm,0.1
903.52nm,0.1
961.40nm,0.1
678.42nm,0.1
382.58nm,0.1
528.35nm,0.1
950.69nm,0.1
691.28nm,0.1
449.03nm,0.1
901.38nm,0.1
815.63nm,0.1
972.12nm,0.1
641.98nm,0.1
884.23nm,0.1
682.71nm,0.1
826.34nm,0.1
879.94nm,0.1
721.30nm,0.08
678.42nm,0.08
839.21nm,0.08
378.29nm,0.08
519.78nm,0.08
905.67nm,0.08
942.11nm,0.08
378.29nm,0.08
978.56nm,0.08
999.99nm,0.08
500.48nm,0.08
661.27nm,0.06
659.13nm,0.06
684.85nm,0.06
965.69nm,0.06
515.49nm,0.06
408.30nm,0.06
639.83nm,0.06
993.56nm,0.06
449.03nm,0.06
822.06nm,0.06
682.71nm,0.06
815.63nm,0.06
404.01nm,0.06
410.44nm,0.06
564.80nm,0.06
676.28nm,0.06
809.19nm,0.06
841.35nm,0.06
882.08nm,0.06
822.06nm,0.06
824.20nm,0.06
689.14nm,0.06
907.81nm,0.06
939.97nm,0.06
674.13nm,0.06
946.40nm,0.06
687.00nm,0.06
826.34nm,0.06
386.86nm,0.06
419.02nm,0.06
954.97nm,0.06
678.42nm,0.04
571.23nm,0.04
566.94nm,0.04
852.07nm,0.04
1012.86nm,0.04
862.79nm,0.04
410.44nm,0.04
856.36nm,0.04
817.77nm,0.04
819.91nm,0.04
819.91nm,0.04
813.48nm,0.04
702.00nm,0.04
824.20nm,0.04
543.36nm,0.04
581.95nm,0.04
524.07nm,0.04
569.09nm,0.04
584.09nm,0.04
858.50nm,0.04
867.08nm,0.04
860.65nm,0.04
909.95nm,0.04
912.10nm,0.04
916.38nm,0.04
879.94nm,0.04
633.40nm,0.04
723.44nm,0.04
656.98nm,0.04
890.66nm,0.04
689.14nm,0.04
1008.57nm,0.04
